stock_SYMBOL,STOCK_COMPANY,WIKI_SIMILARITY,NEWS_SIMILARITY,LINK_SIMILARITY,REFERENCE SIMILARITY
FORK,Fuling Global Inc.,0.018831089428867735,0.3863526358821871,0.0,4.1903175356347785e-05
SDVY,First Trust SMID Cap Rising Dividend Achievers ETF,nan,0.22747886427108416,0.0,nan
ATLO,Ames National Corporation,0.031497039417435604,0.3921940294775175,0.0,0.11829578022929214
INSY,"Insys Therapeutics, Inc.",0.3171675237082733,0.33341367242100595,0.008456659619450317,0.2063611242560491
CARZ,First Trust NASDAQ Global Auto Index Fund,0.3198816391082001,0.3325795867065857,0.03643724696356275,0.14100525737562525
INAP,Internap Corporation,0.28306925853614895,0.5642615246769271,0.006342494714587738,0.10188505026391152
LMB,"Limbach Holdings, Inc.",0.021884405476620426,0.4397145159281531,0.0,0.01425201466466934
ISIG,"Insignia Systems, Inc.",0.199204768222399,0.37157997420767647,0.010570824524312896,0.17962866126248994
ESGRO,Enstar Group Limited,0.2182178902359924,0.3443202897062814,0.004228329809725159,0.04193075350499508
CBTX,"CBTX, Inc.",nan,0.3599358197415412,0.0,nan
